pfull	pdisc	ownbe	ownaf	genre	month	
$14.99 	$7.49 	"22,273,413"	"22,891,335"	0	51.131507	
$19.99 	N/A	"14,869,820"	"14,950,456"	0	144.78904	
$19.99 	$3.99 	"14,125,477"	"14,518,139"	0	84.263013	
$4.99 	$3.99 	"13,505,650"	"13,634,900"	0	144.78904	
$9.99 	$3.99 	"11,501,361"	"11,914,420"	4	119.88767	
$19.99 	$9.99 	"10,477,170"	"10,645,119"	2	60.49315	
$9.99 	$1.99 	"9,433,687"	"9,585,388"	0	144.29589	
$9.99 	$1.99 	"9,160,101"	"9,327,497"	4	109.49315	
$29.99 	$7.49 	"8,745,715"	"8,981,488"	3	74.131507	
$19.99 	$4.99 	"7,946,504"	"8,230,038"	4	67.19726	
$9.99 	$4.99 	"7,427,895"	"7,592,545"	1	66.29589	
$4.99 	$1.24 	"7,365,260"	"7,442,927"	0	162.78904	
$4.99 	$1.24 	"7,250,264"	"7,320,183"	0	185.78904	
$4.99 	$0.99 	"7,235,232"	"7,309,588"	0	192.78904	
$19.99 	$4.99 	"6,354,593"	"6,896,394"	0	39.39452	
$9.99 	$1.99 	"6,446,294"	"6,521,702"	0	126.78904	
$19.99 	$4.99 	"6,307,246"	"6,363,556"	0	50.230137	
$9.99 	$2.49 	"6,172,959"	"6,247,531"	2	76.427397	
$7.99 	$1.59 	"5,960,003"	"6,042,355"	0	125.78904	
$9.99 	$1.99 	"5,627,542"	"5,754,747"	0	216.558903	
$7.99 	$1.59 	"5,420,549"	"5,464,296"	0	109.49315	
$4.99 	$0.99 	"5,141,752"	"5,258,345"	0	211.78904	
$4.99 	$0.99 	"5,129,476"	"5,251,626"	0	204.78904	
$4.99 	$0.99 	"5,113,191"	"5,230,437"	0	185.78904	
$19.99 	$9.99 	"4,840,858"	"4,884,429"	0	84.427397	
$59.99 	$35.99 	"4,583,808"	"4,814,658"	1	19.361643	
$14.99 	$3.74 	"4,561,010"	"4,595,270"	0	80.29589	
$14.99 	$9.74 	"4,401,168"	"4,497,850"	1	7.131507	
$29.99 	$7.49 	"4,236,565"	"4,438,158"	0	43.9863	
$9.99 	$4.99 	"4,397,911"	"4,413,609"	2	73.19726	
$19.99 	$3.99 	"4,106,537"	"4,288,281"	0	96.263013	
$19.99 	$4.99 	"4,104,282"	"4,191,120"	1	44.657534	
$14.99 	$1.50 	"4,105,535"	"4,165,537"	0	61.164383	
$19.99 	$2.99 	"3,945,442"	"4,115,406"	2	66.263013	
$14.99 	$3.74 	"3,990,539"	"4,004,807"	1	80.0657534	
$19.99 	$9.99 	"3,869,780"	"3,997,830"	1	35.460273	
$19.99 	$4.99 	"3,937,676"	"3,984,910"	1	95.756164	
$19.99 	$3.94 	"3,891,076"	"3,959,586"	0	76.88767	
$9.99 	$3.74 	"3,746,016"	"3,784,127"	1	60.328767	
$9.99 	$9.99 	"2,580,522"	"3,746,916"	4	63.756164	
$24.99 	$3.74 	"3,688,893"	"3,746,399"	4	49.29589	
$19.99 	$11.99 	"3,497,233"	"3,738,647"	4	16.59178	
$9.99 	$2.49 	"3,482,953"	"3,547,167"	1	70	
$19.99 	$2.99 	"3,145,982"	"3,508,147"	3	43.526027	
$29.99 	$16.49 	"3,217,384"	"3,434,243"	1	17.756164	
$14.99 	$3.74 	"3,416,561"	"3,433,726"	1	43.0657534	 
$59.99 	$29.99 	"3,258,471"	"3,361,113"	2	12.39452	
$19.99 	$4.99 	"3,257,470"	"3,301,162"	0	90.361643	
$39.99 	$19.99 	"3,225,151"	"3,268,603"	0	60.558903	
$19.99 	$3.99 	"3,102,388"	"3,259,042"	2	218.0328767	
$19.99 	$4.99 	"3,046,519"	"3,097,537"	1	50.59178	
$12.99 	$2.59 	"2,965,596"	"2,995,207"	0	88.88767	
$14.99 	$2.99 	"2,902,711"	"2,994,949"	4	49.9863	
$19.99 	$4.99 	"2,849,096"	"2,918,718"	2	84.9863	
$19.99 	$6.89 	"2,816,777"	"2,887,968"	4	46.29589	
$9.99 	$1.49 	"2,818,030"	"2,870,138"	2	98.29589	
$9.99 	$1.99 	"2,816,527"	"2,838,354"	0	149.78904	
$59.99 	$19.79 	"2,787,965"	"2,830,343"	0	48.427397	
$29.99 	$7.49 	"2,802,998"	"2,836,545"	3	68.328767	
$19.99 	$4.99 	"2,779,447"	"2,824,916"	3	122.460273	
$19.99 	$4.99 	"2,769,175"	"2,806,569"	0	47.69041	
$14.99 	$3.74 	"2,770,177"	"2,797,267"	1	39.164383	
$9.99 	$4.49 	"2,733,098"	"2,764,449"	0	34.09863	
$19.99 	$4.99 	"2,561,982"	"2,656,176"	1	94.39452	
$19.99 	$12.99 	"2,585,282"	"2,643,514"	4	9.230137	
$19.99 	$4.99 	"2,507,866"	"2,632,661"	2	51.0657534	
$19.99 	$4.99 	"2,622,862"	"2,632,144"	1	79.39452	
$19.99 	$4.99 	"2,601,817"	"2,631,369"	1	79.9863	
$14.99 	$3.74 	"2,555,969"	"2,630,077"	1	137.624657	
$19.99 	$4.99 	"2,541,688"	"2,592,091"	3	93.230137	
$9.99 	$4.99 	"2,541,438"	"2,572,968"	0	75.624657	
$39.99 	$19.99 	"2,420,680"	"2,517,152"	0	38.427397	
$9.99 	$4.99 	"2,454,251"	"2,515,343"	1	49.526027	
$19.99 	$2.99 	"2,476,048"	"2,500,873"	4	41.624657	
$19.99 	$12.99 	"2,462,269"	"2,492,604"	4	22.328767	
$9.99 	$2.99 	"2,464,273"	"2,480,458"	3	50.361643	
$29.99 	$11.99 	"2,358,296"	"2,431,102"	4	20.49315	
$14.99 	$1.49 	"2,388,110"	"2,430,069"	4	71.854794	
$9.99 	N/A	"2,381,095"	"2,395,701"	2	156.19726	
$19.99 	$3.99 	"2,323,472"	"2,371,669"	2	74.0657534	
$9.99 	$2.49 	"2,307,437"	"2,341,693"	4	31.78904	
$7.50 	$0.74 	"2,255,326"	"2,289,236"	4	77.78904	
$19.99 	$4.99 	"2,222,746"	"2,278,642"	3	109.953424	
$19.99 	$4.99 	"2,200,458"	"2,259,778"	2	79.821917	
$14.99 	$3.74 	"2,216,994"	"2,225,410"	3	51.854794	
$9.99 	$2.49 	"2,213,737"	"2,221,275"	1	93.920547	
$19.99 	$4.99 	"2,147,345"	"2,172,694"	3	81	
$19.99 	$4.99 	"2,132,312"	"2,156,415"	0	94.526027	
$19.99 	$9.99 	"2,009,049"	"2,155,123"	1	25.854794	
$14.99 	N/A	"2,126,049"	"2,133,933"	1	4.09863	
$29.99 	$7.49 	"2,062,162"	"2,104,733"	0	68.09863	
$14.99 	$11.99 	"2,030,595"	"2,069,848"	4	29.854794	
$19.99 	$4.99 	"2,004,038"	"2,057,186"	3	91.526027	
$24.99 	$6.24 	"1,982,742"	"2,031,862"	4	55.0328767	
$14.99 	$2.99 	"1,856,973"	"2,029,536"	4	30.328767	
$9.99 	$2.49 	"1,884,783"	"1,971,136"	0	49.0657534	
$39.99 	$24.99 	"1,707,654"	"1,935,993"	2	18.230137	
$14.99 	$2.99 	"1,843,945"	"1,898,265"	4	37.263013	
$39.99 	$3.99 	"1,808,369"	"1,859,762"	0	60.09863	
$29.99 	$8.74 	"1,771,791"	"1,856,920"	3	41	
$29.99 	$7.49 	"1,692,371"	"1,847,617"	2	32.723287	
$19.99 	$4.99 	"1,745,735"	"1,810,406"	3	80.460273	
$29.99 	$7.49 	"1,744,733"	"1,803,946"	2	80.78904	
$24.99 	$7.49 	"1,731,455"	"1,784,307"	4	37.0657534	
$29.99 	$7.49 	"1,551,570"	"1,746,321"	4	13.624657	
$19.99 	$4.99 	"1,629,236"	"1,736,243"	0	80.756164	
$39.99 	$7.99 	"1,569,107"	"1,727,974"	3	58.657534	
